Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,240609024,Female,Hatch Year,641,31.26,35.33,205
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736308,Female,Hatch Year,703,30.91,36.94,208
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736305,Male,Hatch Year,887,35.32,40.39,218
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736303,Female,After Hatch Year,748,31.71,37.8,220
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736316,Male,Hatch Year,988,34.05,41.58,221
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736317,Male,Hatch Year,987,33.83,40.59,226
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736310,Male,Hatch Year,1054,34.49,41,228
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736302,Male,Hatch Year,948,34.91,40.31,229
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736306,Male,Hatch Year,1026,33.5,40.54,229
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736315,Male,Hatch Year,972,33.43,40.61,230
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736309,Male,Hatch Year,1011,33.51,41.69,231
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736314,Male,Hatch Year,1042,34.5,41.93,231
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736311,Male,Hatch Year,956,33.74,40.43,233
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736313,Male,Hatch Year,1052,33.97,41.13,233
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736307,Male,After Hatch Year,1055,35.31,42.27,234
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736312,Male,Hatch Year,1093,36.51,43.64,235
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736301,Male,After Hatch Year,1082,34.86,42.64,237
South BC,Hamber Island,49.31845,-122.93327,2007-02-06,Capture,154736304,Male,Hatch Year,1076,34.94,42.07,238
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715046,Female,Hatch Year,688,31.22,36.82,198
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715060,Female,Hatch Year,640,27.81,36.03,200
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715027,Female,Hatch Year,698,27.78,36.03,201
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715034,Female,After Hatch Year,791,31.23,36.67,205
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715045,Female,Hatch Year,727,31.11,37.4,205
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715048,Female,Hatch Year,703,31.87,38.05,205
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715042,Female,Hatch Year,673,30.12,36.47,206
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715059,Female,Hatch Year,684,29.91,37.76,207
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711977,Female,Hatch Year,723,29.59,35.32,208
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715062,Female,Hatch Year,726,31.78,37.75,208
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711971,Female,Hatch Year,692,31.7,35.49,210
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711978,Female,Hatch Year,686,30.93,35.49,210
