Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721936,Male,After Hatch Year,1183,33.8,43.1,234
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721935,Male,After Hatch Year,1023,34.7,40.8,235
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721720,Male,After Hatch Year,1119,33,41.7,235
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721855,Male,After Hatch Year,1073,36.1,42.3,235
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721999,Male,Hatch Year,954,33.4,42.8,235
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721916,Male,Hatch Year,967,35.6,43.3,235
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721854,Male,After Hatch Year,1138,34.9,43.7,235
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721922,Male,Hatch Year,998,35.6,43.8,235
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721942,Male,After Hatch Year,1108,32.1,40.8,238
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721909,Male,After Hatch Year,1104,33.6,43,240
South-central AK,Kachemak Bay,,,2013-04-02,Capture,176721906,Male,After Hatch Year,1024,34.3,45.5,240
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721719,Male,After Hatch Year,1112,36.1,49.6,240
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721947,Male,After Hatch Year,1119,35.2,43.8,241
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721722,Male,After Hatch Year,1093,35,41.9,242
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721945,Male,After Hatch Year,1031,35.2,43.2,242
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721917,Male,After Hatch Year,1028,34.6,45,242
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721948,Male,After Hatch Year,1082,35.5,41.5,243
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721946,Male,After Hatch Year,1170,35.8,42.3,243
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721930,Male,After Hatch Year,1062,35.9,42.2,245
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721940,Male,After Hatch Year,899,34.1,43.4,245
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721918,Male,After Hatch Year,1169,35.1,44.7,245
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721923,Male,After Hatch Year,1044,33.9,43,249
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721919,Male,After Hatch Year,1128,35.9,44.1,250
South-central AK,Kachemak Bay,,,2013-04-02,Capture,176721907,Male,After Hatch Year,1103,33.7,43.6,
South-central AK,Kachemak Bay,,,2013-04-01,Capture,,Female,After Hatch Year,825,,,
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721714,Male,After Hatch Year,,,,
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721715,Male,After Hatch Year,,,,
North BC,Kiskosh Inlet,53.51667,-129.25746,2014-04-13,Capture,176715105,Male,Hatch Year,965,35.45,42.58,226
North BC,Kiskosh Inlet,53.51667,-129.25746,2014-04-13,Capture,176715106,Male,Hatch Year,1056,35.54,42.11,235
North BC,Kiskosh Inlet,53.51667,-129.25746,2014-04-13,Capture,176715104,Male,After Hatch Year,987,35.06,40.17,240
North BC,Kiskosh Inlet,53.51667,-129.25746,2014-04-12,Capture,176715101,Male,After Hatch Year,1145,34.48,40.94,242
North BC,Kitimat Arm,53.89989,-128.67862,2014-04-25,Capture,176715197,Female,After Hatch Year,891,31.96,37.6,215
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715185,Female,After Hatch Year,866,32.99,36.83,218
North BC,Kitimat Arm,53.89989,-128.67862,2014-04-25,Capture,176715199,Female,After Hatch Year,791,30.98,37.06,218
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715186,Female,After Hatch Year,834,31.54,37.87,219
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715188,Female,After Hatch Year,816,31.1,39.48,222
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715196,Male,After Hatch Year,1030,35.14,41.29,232
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715189,Male,Hatch Year,1015,35.34,43.3,232
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715184,Male,After Hatch Year,1156,34.11,40.81,233
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715187,Male,After Hatch Year,1041,35.83,40.62,235
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715174,Male,After Hatch Year,1135,37.89,41.38,235
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715190,Male,After Hatch Year,1091,34.31,41.42,238
North BC,Kitimat Arm,53.89989,-128.67862,2014-04-25,Capture,176715198,Male,After Hatch Year,1182,35.13,43.05,238
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715192,Male,After Hatch Year,1097,36.6,40.68,240
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715193,Male,After Hatch Year,1058,36.95,41.73,240
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715173,Male,After Hatch Year,1155,34.82,43.63,240
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-23,Capture,176715191,Male,After Hatch Year,1007,35.22,40.43,241
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715183,Male,After Hatch Year,973,34.04,41.52,241
North BC,Kitimat Arm,53.93348,-128.71919,2014-04-22,Capture,176715182,Male,After Hatch Year,1041,34.87,41.42,245
North BC,Lower Douglas Channel,53.42379,-129.24864,2014-04-16,Capture,176715132,Female,After Hatch Year,706,31.25,36.76,205
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-14,Capture,176715112,Female,After Hatch Year,698,31.31,37.28,207
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-14,Capture,176715113,Female,After Hatch Year,672,29.96,36.12,208
North BC,Lower Douglas Channel,53.42379,-129.24864,2014-04-16,Capture,176715136,Female,Hatch Year,701,31.49,37.33,210
North BC,Lower Douglas Channel,53.42379,-129.24864,2014-04-16,Capture,176715134,Female,After Hatch Year,747,32.23,36.7,212
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-19,Capture,176715167,Female,After Hatch Year,750,30.44,37.4,214
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-17,Capture,176715155,Female,After Hatch Year,802,32,37.71,216
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-15,Capture,176715126,Female,After Hatch Year,768,32.88,38.16,222
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-19,Capture,176715168,Male,Hatch Year,940,32.55,40.3,226
North BC,Lower Douglas Channel,53.42379,-129.24864,2014-04-16,Capture,176715137,Male,Hatch Year,1004,34.33,42.18,228
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-19,Capture,176715157,Male,Hatch Year,1004,35.05,41.39,229
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-19,Capture,176715156,Male,Hatch Year,994,35.1,41.36,232
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-15,Capture,176715124,Male,Hatch Year,1007,36.39,42.93,234
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-17,Capture,176715154,Male,Hatch Year,926,35.94,41.74,235
North BC,Lower Douglas Channel,53.42379,-129.24864,2014-04-16,Capture,176715133,Male,After Hatch Year,1084,34.81,41.89,236
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-14,Capture,176715111,Male,After Hatch Year,1110,34.75,40.53,238
North BC,Lower Douglas Channel,53.39537,-129.27579,2014-04-14,Capture,176715122,Male,After Hatch Year,1148,36.95,47.98,239
North BC,Lower Douglas Channel,53.41579,-129.25568,2014-04-16,Capture,176715135,Male,After Hatch Year,1098,35.39,41.76,241
North BC,Lower Douglas Channel,53.39894,-129.28799,2014-04-15,Capture,176715128,Male,After Hatch Year,1193,35.52,42.26,243
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736498,Female,After Hatch Year,765,30.91,36.16,213
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736495,Female,After Hatch Year,682,31.61,36.57,219
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736496,Female,After Hatch Year,803,32.47,36.58,219
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736497,Female,After Hatch Year,756,32.68,37.8,221
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-06,Capture,154736457,Male,After Hatch Year,926,36.13,39.23,237
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736455,Male,After Hatch Year,918,35.46,39.84,237
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736452,Male,After Hatch Year,1156,35.93,42.47,237
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736454,Male,After Hatch Year,1157,34.99,40.05,238
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736500,Male,After Hatch Year,1054,35.74,39.72,239
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736499,Male,After Hatch Year,1016,34.66,40.47,242
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736453,Male,After Hatch Year,1164,34.66,40.05,243
South BC,Orlomah Beach,49.37267,-122.88842,2011-04-05,Capture,154736451,Male,After Hatch Year,1118,36.1,40.98,243
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI04,Female,After Hatch Year,761,31,36.01,203
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI03,Female,After Hatch Year,748,31,36.87,206
South-central AK,Prince William Sound,60.4993,-147.94818,2009-03-21,Capture,360701190,Female,Hatch Year,639,29.23,36.76,209
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701185,Female,After Hatch Year,744,31.56,38.28,209
South-central AK,Prince William Sound,60.47193,-147.7118,2009-03-05,Capture,360701155,Female,After Hatch Year,675,30.38,36.88,210
South-central AK,Prince William Sound,,,1997-02-24,Collection,96MON22,Female,After Hatch Year,793,29.8,37.1,210
South-central AK,Prince William Sound,60.49982,-147.9388,2009-03-21,Capture,360701189,Female,Hatch Year,710,30.88,37.11,210
South-central AK,Prince William Sound,60.49948,-147.63652,2005-03-05,Capture,134782505,Female,After Hatch Year,788,32.97,37.89,210
South-central AK,Prince William Sound,,,1996-12-05,Collection,96MON03,Female,After Hatch Year,756,32.58,35.92,211
South-central AK,Prince William Sound,,,1996-12-11,Collection,96KNI12,Female,After Hatch Year,826,32.54,36.3,211
South-central AK,Prince William Sound,60.25042,-147.20663,2005-03-09,Capture,134782523,Female,Hatch Year,633,29.94,37.46,211
South-central AK,Prince William Sound,60.71965,-148.23727,2009-03-20,Capture,360701184,Female,After Hatch Year,747,31.05,37.47,211
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI02,Female,After Hatch Year,779,30.02,37.28,212
South-central AK,Prince William Sound,60.28488,-147.42147,2009-03-17,Capture,360701175,Female,Hatch Year,765,30.44,38.69,213
South-central AK,Prince William Sound,60.70702,-148.23167,2009-03-19,Capture,360701179,Female,Hatch Year,806,33.17,39.54,213
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782510,Female,After Hatch Year,675,31.18,36.5,214
South-central AK,Prince William Sound,,,1996-12-11,Collection,96KNI08,Female,After Hatch Year,843,32.36,36.74,214
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON17,Female,After Hatch Year,876,32.1,37.65,214
South-central AK,Prince William Sound,60.38252,-147.73252,2009-03-07,Capture,360701162,Female,After Hatch Year,738,32.06,39.75,214
South-central AK,Prince William Sound,,,1996-12-13,Collection,96MON09,Female,After Hatch Year,922,32.24,36.89,215
South-central AK,Prince William Sound,,,1997-02-15,Collection,96KNI22,Female,After Hatch Year,795,32.15,37.56,215
South-central AK,Prince William Sound,60.23983,-147.22475,2009-03-14,Capture,360701171,Female,After Hatch Year,770,31.79,37.99,215
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI09,Female,After Hatch Year,858,32.58,38.08,215
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701183,Female,After Hatch Year,791,31.91,39.05,215
South-central AK,Prince William Sound,60.41858,-147.78952,2009-03-04,Capture,360701154,Female,After Hatch Year,830,31.95,36.12,216
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782512,Female,After Hatch Year,720,32.11,36.97,216
South-central AK,Prince William Sound,,,1996-12-14,Collection,96MON11,Female,After Hatch Year,897,30.81,37.43,216
South-central AK,Prince William Sound,,,1996-12-07,Collection,96MON05,Female,After Hatch Year,802,32.02,37.74,216
South-central AK,Prince William Sound,60.44077,-147.73495,2009-03-04,Capture,360701153,Female,After Hatch Year,714,29.54,37.93,216
South-central AK,Prince William Sound,60.46825,-147.70783,2005-03-04,Capture,134782503,Female,After Hatch Year,695,31.08,37.05,217
South-central AK,Prince William Sound,,,1996-12-05,Collection,96MON04,Female,After Hatch Year,924,32.33,38.12,217
South-central AK,Prince William Sound,,,1997-02-13,Collection,96KNI15,Female,After Hatch Year,887,33.77,38.2,218
South-central AK,Prince William Sound,,,1997-02-14,Collection,96KNI18,Female,After Hatch Year,916,37.93,31.65,220
South-central AK,Prince William Sound,,,1997-02-14,Collection,96KNI19,Female,After Hatch Year,869,31.64,37.75,220
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON19,Female,After Hatch Year,849,33.2,38.18,220
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782515,Female,After Hatch Year,873,32.73,37.24,222
South-central AK,Prince William Sound,,,1997-02-14,Collection,96KNI20,Female,After Hatch Year,892,32.1,37.3,222
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI01,Male,After Hatch Year,1042,36.73,40.62,225
South-central AK,Prince William Sound,,,1996-12-07,Collection,96MON07,Male,After Hatch Year,1058,33.99,40.87,225
South-central AK,Prince William Sound,60.4963,-147.69705,2009-03-08,Capture,360701163,Male,After Hatch Year,1062,33.54,46.6,226
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782533,Female,After Hatch Year,803,33.47,39.05,227
South-central AK,Prince William Sound,,,1996-12-07,Collection,96MON08,Male,After Hatch Year,1048,35.63,40.85,227
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI07,Male,After Hatch Year,1220,34.69,41.8,227
South-central AK,Prince William Sound,,,1997-02-14,Collection,96KNI17,Male,After Hatch Year,1197,41.5,34.18,232
South-central AK,Prince William Sound,60.22412,-147.2774,2005-03-17,Capture,134782530,Male,After Hatch Year,1032,33.62,39.81,232
South-central AK,Prince William Sound,,,1996-12-07,Collection,96MON06,Male,After Hatch Year,1225,35.17,40.04,232
South-central AK,Prince William Sound,60.4891,-147.95048,2009-03-03,Capture,360701151,Male,After Hatch Year,1084,34.28,39.93,233
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782513,Male,After Hatch Year,1045,34.08,39.52,234
South-central AK,Prince William Sound,60.2826,-147.42917,2005-03-24,Capture,134782541,Male,Hatch Year,1059,34.75,40.74,234
South-central AK,Prince William Sound,60.30545,-147.18592,2009-03-11,Capture,360701169,Male,After Hatch Year,1090,35.7,41.87,234
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON14,Male,After Hatch Year,1121,36.7,42,234
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701181,Male,Hatch Year,1022,36.37,42.31,234
South-central AK,Prince William Sound,60.49928,-147.64015,2009-03-08,Capture,360701166,Male,Hatch Year,1013,34.87,42.73,234
South-central AK,Prince William Sound,,,1996-12-14,Collection,96MON12,Male,After Hatch Year,1164,36.48,,234
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-12,Capture,134782526,Male,After Hatch Year,1124,32.41,39.8,235
South-central AK,Prince William Sound,,,1997-02-13,Collection,96KNI14,Male,After Hatch Year,1166,34.43,40.41,235
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON18,Male,After Hatch Year,1173,36,40.7,235
South-central AK,Prince William Sound,,,1997-02-24,Collection,96MON23,Male,After Hatch Year,1043,33.4,40.7,235
South-central AK,Prince William Sound,60.22412,-147.2774,2005-03-17,Capture,134782531,Male,After Hatch Year,1054,33.59,41.28,235
South-central AK,Prince William Sound,60.4963,-147.69705,2009-03-08,Capture,360701164,Male,After Hatch Year,1001,34.56,41.09,236
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701187,Male,After Hatch Year,1145,35.59,42.51,236
South-central AK,Prince William Sound,60.31898,-147.17603,2009-03-11,Capture,360701168,Male,After Hatch Year,1174,34.69,40.83,237
South-central AK,Prince William Sound,60.3764,-147.71058,2009-03-06,Capture,360701157,Male,After Hatch Year,1019,32.7,41.03,237
South-central AK,Prince William Sound,60.29215,-147.39468,2009-03-17,Capture,360701174,Male,After Hatch Year,1064,35.53,41.25,237
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-12,Capture,134782528,Male,After Hatch Year,1093,35.23,42.18,237
South-central AK,Prince William Sound,60.31898,-147.17603,2009-03-11,Capture,360701167,Male,Hatch Year,1135,37.78,42.42,237
South-central AK,Prince William Sound,60.49928,-147.64015,2009-03-08,Capture,360701165,Male,After Hatch Year,974,35.27,40.14,238
South-central AK,Prince William Sound,,,1997-02-15,Collection,96KNI23,Male,After Hatch Year,1236,35.15,40.87,238
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782511,Male,After Hatch Year,1050,35.45,41.02,238
South-central AK,Prince William Sound,60.2826,-147.42917,2005-03-16,Capture,134782529,Male,After Hatch Year,1035,33.32,41.38,238
South-central AK,Prince William Sound,,,1997-02-18,Collection,96MON15,Male,After Hatch Year,1243,34.9,42,238
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782516,Male,After Hatch Year,1008,33.98,42.13,238
South-central AK,Prince William Sound,60.27345,-147.19163,2009-03-13,Capture,360701170,Male,After Hatch Year,1184,34.46,42.3,238
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI05,Male,After Hatch Year,1445,35.29,43.48,238
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782536,Male,After Hatch Year,1158,36.53,41.17,239
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON13,Male,After Hatch Year,1186,35.6,41.5,239
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701180,Male,After Hatch Year,1113,34.89,41.87,239
South-central AK,Prince William Sound,,,1997-02-15,Collection,96KNI21,Male,After Hatch Year,1213,32.7,41.9,239
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782514,Male,After Hatch Year,1075,36.05,42.03,239
South-central AK,Prince William Sound,,,1997-02-13,Collection,96KNI16,Male,After Hatch Year,1323,33,42.27,239
South-central AK,Prince William Sound,60.71965,-148.23727,2009-03-20,Capture,360701188,Male,After Hatch Year,1044,33.82,42.33,239
South-central AK,Prince William Sound,60.3764,-147.71058,2009-03-06,Capture,360701161,Male,After Hatch Year,1099,33.26,42.54,239
South-central AK,Prince William Sound,60.52818,-148.0103,2009-03-18,Capture,360701176,Male,After Hatch Year,1048,35.55,42.69,239
South-central AK,Prince William Sound,,,1997-02-13,Collection,96KNI13,Male,After Hatch Year,1223,35.96,43.12,239
South-central AK,Prince William Sound,60.22412,-147.2774,2005-03-18,Capture,134782532,Male,After Hatch Year,1118,33.34,41.27,240
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON21,Male,After Hatch Year,1160,35.9,41.6,240
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782537,Male,After Hatch Year,1038,34.65,41.71,240
South-central AK,Prince William Sound,,,1996-12-05,Collection,96MON02,Male,After Hatch Year,1261,35.58,41.81,240
South-central AK,Prince William Sound,60.3764,-147.71058,2009-03-06,Capture,360701160,Male,After Hatch Year,1064,35.04,42.23,240
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782535,Male,After Hatch Year,1110,34.5,42.87,240
South-central AK,Prince William Sound,,,1997-02-17,Collection,96MON16,Male,After Hatch Year,1124,36.2,43.6,240
South-central AK,Prince William Sound,,,1997-02-15,Collection,96KNI24,Male,After Hatch Year,1261,35.67,40.71,241
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-20,Capture,134782540,Male,After Hatch Year,1170,34.69,41.08,241
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-11,Capture,134782524,Male,After Hatch Year,1081,34.02,41.33,241
South-central AK,Prince William Sound,60.43085,-147.76258,2009-03-04,Capture,360701152,Male,After Hatch Year,1109,34.02,41.55,241
South-central AK,Prince William Sound,60.25042,-147.20663,2005-03-09,Capture,134782521,Male,After Hatch Year,1059,34.58,41.61,241
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782539,Male,After Hatch Year,1210,34.46,41.76,241
South-central AK,Prince William Sound,60.46825,-147.70783,2005-03-04,Capture,134782504,Male,After Hatch Year,1200,32.96,41.82,241
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782518,Male,After Hatch Year,998,34.28,39.77,242
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782538,Male,After Hatch Year,1048,36.18,39.78,242
South-central AK,Prince William Sound,,,1996-12-13,Collection,96MON10,Male,After Hatch Year,1273,35.13,41.35,242
South-central AK,Prince William Sound,,,1996-12-10,Collection,96KNI06,Male,After Hatch Year,1258,33.48,41.38,242
South-central AK,Prince William Sound,,,1996-12-11,Collection,96KNI10,Male,After Hatch Year,1289,34.58,41.59,242
South-central AK,Prince William Sound,60.34182,-147.12655,2005-03-19,Capture,134782534,Male,After Hatch Year,1055,33.49,41.6,242
South-central AK,Prince William Sound,,,1997-02-24,Collection,96MON20,Male,After Hatch Year,1170,36.2,41.7,242
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-12,Capture,134782525,Male,After Hatch Year,1132,34.96,41.81,242
South-central AK,Prince William Sound,60.3106,-147.17428,2005-03-12,Capture,134782527,Male,After Hatch Year,1133,34.02,42,242
South-central AK,Prince William Sound,60.71463,-148.25682,2009-03-19,Capture,360701178,Male,After Hatch Year,1090,34.19,42.14,242
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782508,Male,After Hatch Year,978,33.86,40.59,243
South-central AK,Prince William Sound,60.49948,-147.63652,2005-03-05,Capture,134782507,Male,After Hatch Year,1221,34.66,41.18,243
South-central AK,Prince William Sound,60.3764,-147.71058,2009-03-06,Capture,360701158,Male,After Hatch Year,1155,32.82,42.15,243
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701182,Male,After Hatch Year,1148,32.96,42.65,243
South-central AK,Prince William Sound,60.3764,-147.71058,2009-03-06,Capture,360701156,Male,After Hatch Year,1147,34.68,41.4,244
South-central AK,Prince William Sound,60.38285,-147.75483,2009-03-06,Capture,360701159,Male,After Hatch Year,1124,33.9,41.46,244
South-central AK,Prince William Sound,60.52818,-148.0103,2009-03-18,Capture,360701177,Male,After Hatch Year,1097,34.26,41.66,244
South-central AK,Prince William Sound,,,1996-12-11,Collection,96KNI11,Male,After Hatch Year,1383,37.41,41.85,244
South-central AK,Prince William Sound,,,1996-12-05,Collection,96MON01,Male,After Hatch Year,1077,35.06,42.03,244
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782509,Male,After Hatch Year,1175,34.88,42.25,244
South-central AK,Prince William Sound,60.46825,-147.70783,2005-03-04,Capture,134782502,Male,After Hatch Year,1155,33.91,40.01,245
South-central AK,Prince William Sound,60.46825,-147.70783,2005-03-04,Capture,134782501,Male,After Hatch Year,1090,34.99,40.15,245
South-central AK,Prince William Sound,60.23983,-147.22475,2009-03-14,Capture,360701172,Male,After Hatch Year,1030,36.76,43.58,245
South-central AK,Prince William Sound,60.36303,-147.69092,2005-03-06,Capture,134782517,Male,After Hatch Year,1141,33.4,41.78,246
South-central AK,Prince William Sound,60.70737,-148.25693,2009-03-20,Capture,360701186,Male,After Hatch Year,1110,33.57,42.51,246
South-central AK,Prince William Sound,60.25042,-147.20663,2005-03-09,Capture,134782522,Male,After Hatch Year,1147,34.03,40.9,248
South-central AK,Prince William Sound,60.49473,-147.69453,2005-03-05,Capture,134782506,Male,After Hatch Year,1134,35.63,41.89,251
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736339,Female,Hatch Year,663,31.44,36.7,209
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736343,Female,Hatch Year,773,30.85,38.07,213
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736340,Female,After Hatch Year,853,31.16,36.89,221
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736341,Female,After Hatch Year,707,30.87,37.23,221
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736338,Male,Hatch Year,1052,34.25,43.35,235
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736337,Male,After Hatch Year,1052,34.35,39.75,237
South BC,Twin Island,49.34785,-122.88975,2007-02-08,Capture,154736342,Male,After Hatch Year,1176,35.05,41.38,246
South BC,White Rock,49.02467,-122.86839,2015-03-10,Capture,176715200,Female,After Hatch Year,749,37.44,32.22,213
