NumPhage
54
68
38
64
44
12
4
60
42
74
56
94
80
70
40
2
42
2
70
66
2
18
14
4
10
20
36
40
24
18
18
26
36
22
12
4
8
22
6
64
12
28
2
4
6
34
54
4
16
32
10
18
14
16
52
96
80
42
46
46
28
94
50
88
48
46
66
54
34
32
60
62
24
34
52
36
22
40
40
52
10
38
14
30
20
30
18
44
14
2
50
36
4
42
18
50
18
44
30
26
4
10
2
50
56
2
20
62
